date,commodity_gu,commodity_en,price,unit,factory,city,remarks,page_slug,published_at
"2026-03-13","કપાસિયા ખોળ","Kapasiya Khal (Cottonseed Cake)",2100.00,"bag","ભાવેશ ઓઇલ ઇન્ડસ્ટ્રી","હારીજ","","https://umiyaagrosetu.com/rates/-","2026-03-14T08:44:09.533Z"
"2026-03-13","કપાસિયા ખોળ","Kapasiya Khal (Cottonseed Cake)",2000.00,"bag","શ્રી જય અંબે  ઇન્ડસ્ટ્રીઝ","વિસનગર","","https://umiyaagrosetu.com/rates/-","2026-03-14T08:44:09.533Z"
"2026-03-13","જાડુ ભુસુ -39Kg","જાડુ ભુસુ -39Kg",921.00,"bag","શ્રી ભગવતી ફૂડ એન્ડ ફ્લોર મિલ-ભાયલા","ભાયલા","","https://umiyaagrosetu.com/rates/---39kg","2026-03-14T08:44:09.533Z"
"2026-03-13","જીણું ભુસુ -49Kg","જીણું ભુસુ -49Kg",1221.00,"bag","શ્રી ભગવતી ફૂડ એન્ડ ફ્લોર મિલ-ભાયલા","ભાયલા","","https://umiyaagrosetu.com/rates/---49kg","2026-03-14T08:44:09.533Z"
