date,commodity,factory,city,price_inr,unit,page_url,schema_type,published_at
"2026-03-13","કપાસિયા ખોળ","ભાવેશ ઓઇલ ઇન્ડસ્ટ્રી","હારીજ",2100.00,"bag","https://umiyaagrosetu.com/rates/-","PriceSpecification","2026-03-14T08:44:09.533Z"
"2026-03-13","કપાસિયા ખોળ","શ્રી જય અંબે  ઇન્ડસ્ટ્રીઝ","વિસનગર",2000.00,"bag","https://umiyaagrosetu.com/rates/-","PriceSpecification","2026-03-14T08:44:09.533Z"
"2026-03-13","જાડુ ભુસુ -39Kg","શ્રી ભગવતી ફૂડ એન્ડ ફ્લોર મિલ-ભાયલા","ભાયલા",921.00,"bag","https://umiyaagrosetu.com/rates/---39kg","PriceSpecification","2026-03-14T08:44:09.533Z"
"2026-03-13","જીણું ભુસુ -49Kg","શ્રી ભગવતી ફૂડ એન્ડ ફ્લોર મિલ-ભાયલા","ભાયલા",1221.00,"bag","https://umiyaagrosetu.com/rates/---49kg","PriceSpecification","2026-03-14T08:44:09.533Z"
