factory_name,factory_city,commodity_name,price,unit,price_date,remarks,published_at
"ભાવેશ ઓઇલ ઇન્ડસ્ટ્રી","હારીજ","કપાસિયા ખોળ",2100.00,"bag","2026-03-13","","2026-03-14T08:44:09.533Z"
"શ્રી જય અંબે  ઇન્ડસ્ટ્રીઝ","વિસનગર","કપાસિયા ખોળ",2000.00,"bag","2026-03-13","","2026-03-14T08:44:09.533Z"
"શ્રી ભગવતી ફૂડ એન્ડ ફ્લોર મિલ-ભાયલા","ભાયલા","જાડુ ભુસુ -39Kg",921.00,"bag","2026-03-13","","2026-03-14T08:44:09.533Z"
"શ્રી ભગવતી ફૂડ એન્ડ ફ્લોર મિલ-ભાયલા","ભાયલા","જીણું ભુસુ -49Kg",1221.00,"bag","2026-03-13","","2026-03-14T08:44:09.533Z"
